Name,Source,Entry,Size,Type,Subtypes,Classify 1,Classify 2,Classify 3,Classify 4
Deep Stalker Queen,Dangerous Denizens: The Monsters of Tellene,,Large,Humanoid,Aquatic,Deep Stalker,Queen,,
"Goblin, Shashyf",Dangerous Denizens: The Monsters of Tellene,,Small,Humanoid,Goblinoid,Goblin,Shashyf,,
Human Greater Sharjan,Dangerous Denizens: The Monsters of Tellene,,Medium,Humanoid,,Human,Greater Sharjan,,
Human Rhajghani Pseudo-Ghoul,Dangerous Denizens: The Monsters of Tellene,,Medium,Humanoid,,Human,Rhajghani Pseudo-Ghoul,,
"Lizardfolk, Zek'ira",Dangerous Denizens: The Monsters of Tellene,,Medium,Humanoid,"Aquatic, Reptilian",Lizardfolk,Zek'ira,,
Mite,Dangerous Denizens: The Monsters of Tellene,,Tiny,Humanoid,,Mite,Tellenian,,
Ratfolk,Dangerous Denizens: The Monsters of Tellene,,Medium,Humanoid,,Ratfolk,,,
Slavering Gorger,Dangerous Denizens: The Monsters of Tellene,,Medium,Humanoid,Goblinoid,Slavering Gorger,,,
"Troglodyte, Sca'lara",Dangerous Denizens: The Monsters of Tellene,,Medium,Humanoid,Reptilian,Troglodyte,Sca'lara,,
Dwarf,Dark Sun 3,,Medium,Humanoid,Dwarf,Dwarf,Athasian,,
Gith,Dark Sun 3,,Medium,Humanoid,Gith,Gith,,,
Gith Captain,Dark Sun 3,,Medium,Humanoid,Gith,Gith,Captain,,
Gith Tribe Leader,Dark Sun 3,,Medium,Humanoid,Gith,Gith,Tribe Leader,,
Gith Warrior,Dark Sun 3,,Medium,Humanoid,Gith,Gith,Warrior,,
Half-Elf,Dark Sun 3,,Medium,Humanoid,Elf,Half-Elf,Athasian,,
Halfling,Dark Sun 3,,Small,Humanoid,Halfling,Halfling,Athasian,,
Human,Dark Sun 3,,Medium,Humanoid,,Human,Athasian,,
Jozhal,Dark Sun 3,,Small,Humanoid,"Psionic, Reptilian",Jozhal,,,
Jozhal Warrior,Dark Sun 3,,Small,Humanoid,"Psionic, Reptilian",Jozhal,Warrior,,
Mul,Dark Sun 3,,Medium,Humanoid,,Mul,,,
Pterran,Dark Sun 3,,Medium,Humanoid,,Pterran,,,
Vehrteig,Dark Tales and Disturbing Legends,,Medium,Humanoid,,Vehrteig,,,
Human Ermordenung,Denizens of Dread,,Medium,Humanoid,,Human,Ermordenung,,
Human Vorlog,Denizens of Dread,,Medium,Humanoid,,Human,Vorlog,,
"Human, Vistani",Denizens of Dread,,Medium,Humanoid,Human,Human,Vistani,,
"Lycanthrope, Loup-garou, Lowland",Denizens of Dread,,Medium,Humanoid,"Human, Shapechanger",Human,Lycanthrope,Loup-garou,Lowland
"Lycanthrope, Loup-garou, Mountain",Denizens of Dread,,,Humanoid,"Human, Shapechanger",Human,Lycanthrope,Loup-garou,Mountain
"Lycanthrope, Werebadger",Denizens of Dread,,Medium,Humanoid,"Dwarf, Shapechanger",Dwarf,Lycanthrope,Werebadger,
"Lycanthrope, Werejackal",Denizens of Dread,,,Humanoid,"Dwarf, Shapechanger",Human,Lycanthrope,Werejackal,
"Lycanthrope, Werejaguar",Denizens of Dread,,Medium,Humanoid,"Human, Shapechanger",Human,Lycanthrope,Werejaguar,
"Lycanthrope, Wereleopard",Denizens of Dread,,Medium,Humanoid,"Human, Shapechanger",Human,Lycanthrope,Wereleopard,
"Lycanthrope, Wereraven",Denizens of Dread,,,Humanoid,"Human, Shapechanger",Human,Lycanthrope,Wereraven,
"Lycanthrope, Wereray",Denizens of Dread,,Medium,Humanoid,"Human, Shapechanger, Aquatic",Human,Lycanthrope,Wereray,
Quevari,Denizens of Dread,,Medium,Humanoid,,Quevari,,,
Subdweller,Denizens of Dread,,Medium,Humanoid,,Subdweller,,,
Shad,Denizens of the Inner Planes,,Small,Humanoid,Extraplanar,Shad,,,
Nathri,Denizens of the Transitive Planes,,Small,Humanoid,"Extraplanar, Psionic",Nathri,,,
Tween,Denizens of the Transitive Planes,,Small,Humanoid,Extraplanar,Tween,,,
Hobgoblin,Dragon #309,,Medium,Humanoid,Goblinoid,Hobgoblin,,,
Gheden Half-Orc,Dragon #313,,Medium,Humanoid,Orc,Half-Orc,Gheden,,
Ghost Elf,Dragon #313,,Medium,Humanoid,Elf,Elf,Ghost,,
Afflicted Human,Dragon #315,,Medium,Humanoid,,Human,Afflicted,,
Ka-Tainted Human,Dragon #315,,Medium,Humanoid,Augmented Humanoid,Human,Ka-Tainted,,
T'liz Human,Dragon #315,,Medium,Humanoid,Augmented Humanoid,Human,T'liz,,
Tortle,Dragon #315,,Medium,Humanoid,,Tortle,,,
Golmoid,Dragon #317,,Medium,Humanoid,,Golmoid,,,
Quinametin,Dragon #317,,Large,Humanoid,,Quinametin,,,
Shifter,Dragon #317,,Medium,Humanoid,Shapechanger,Shifter,,,
Maenad,Dragon #319,,,Humanoid,,Maenad,Athasian,,
Complacent Human,Dragon #320,,Medium,Humanoid,,Human,Azeroth,Complacent,
Declining Elf,Dragon #320,,Medium,Humanoid,Elf,Elf,Azeroth,Declining,
Exiled Dwarf,Dragon #320,,Medium,Humanoid,Dwarf,Dwarf,Azeroth,Exiled,
Techno Gnome,Dragon #320,,Small,Humanoid,Gnome,Gnome,Azeroth,Techno,
Unsheltered Halfling,Dragon #320,,Small,Humanoid,Halfling,Halfling,Azeroth,Unsheltered,
Feral-Kind Cyclopean,Dragon #323,,Medium,Humanoid,,Cyclopean,Feral-Kind,,
Menta Cyclopean,Dragon #323,,Medium,Humanoid,,Cyclopean,Menta,,
Du'lora Inspired,Dragon #324,,Medium,Humanoid,"Human, Psionic",Human,Inspired,Du'ulora Quori Spirit,
Grippli,Dragon #324,,Small,Humanoid,,Grippli,,,
Hashalaq Inspired,Dragon #324,,Medium,Humanoid,"Human, Psionic",Human,Inspired,Hashalaq Quori Spirit,
Kalaraq Inspired,Dragon #324,,Medium,Humanoid,"Human, Psionic",Human,Inspired,Kalaraq Quori Spirit,
Saurial Shifter,Dragon #328,,Medium,Humanoid,"Reptilian, Shapechanger",Shifter,Saurial,,
Umbragen,Dragon #330,,Medium,Humanoid,Elf,Elf,Drow,Umbragen,
Giff,Dragon #339,,Medium,Humanoid,,Giff,,,
Goblyn,Dragon #339,,Medium,Humanoid,Goblinoid,Goblyn,,,
Insectare,Dragon #339,,Medium,Humanoid,,Insectare,,,
Phanaton,Dragon #339,,Small,Humanoid,,Phanaton,,,
Scro,Dragon #339,,Medium,Humanoid,Orc,Orc,Scro,,
Xvart,Dragon #339,,Small,Humanoid,,Xvart,,,
Norker,Dragon #343,,Small,Humanoid,Goblinoid,Norker,,,
Garuda,Dragon #352,,Medium,Humanoid,Garuda,Garuda,Bas-Lag,,
Khepri,Dragon #352,,Medium,Humanoid,,Khepri,,,
Dvati,"Dragon Compendium, Volume 1",,Medium,Humanoid,,Dvati,,,
Afflicted Kender,Dragonlance Campaign Setting,,Small,Humanoid,Halfling,Kender,Affllicted,,
Civilized Human,Dragonlance Campaign Setting,,Medium,Humanoid,,Human,Krynnish,Civilized,
Daegar,Dragonlance Campaign Setting,,Medium,Humanoid,Dwarf,Dwarf,Dark,Daegar,
Dark Dwarf,Dragonlance Campaign Setting,,Medium,Humanoid,Dwarf,Dwarf,Dark,,
Gully Dwarf,Dragonlance Campaign Setting,,Medium,Humanoid,Dwarf,Dwarf,Gully,,
Hill Dwarf,Dragonlance Campaign Setting,,Medium,Humanoid,Dwarf,Dwarf,Hill,Krynnish,
Irda,Dragonlance Campaign Setting,,Medium,Humanoid,Shapechanger,Ogre,Krynnish,Irda,
Kagonesti,Dragonlance Campaign Setting,,Medium,Humanoid,Elf,Elf,Kagonesti,,
Kender,Dragonlance Campaign Setting,,Small,Humanoid,Halfling,Kender,,,
Mad Gnome,Dragonlance Campaign Setting,,Small,Humanoid,Gnome,Gnome,Krynnish,Mad,
Minotaur,Dragonlance Campaign Setting,,Medium,Humanoid,Minotaur,Minotaur,Krynnish,,
Minotaur of Krynn,Dragonlance Campaign Setting,,Medium,Humanoid,Minotaur,Minotaur,Krynnish,,
Mountain Dwarf,Dragonlance Campaign Setting,,Medium,Humanoid,Dwarf,Dwarf,Mountain,Krynnish,
Nomad,Dragonlance Campaign Setting,,Medium,Humanoid,,Human,Krynnish,Nomadic,
Qualinesti,Dragonlance Campaign Setting,,Medium,Humanoid,Elf,Elf,Qualinesti,,
"Sea Elf, Dargonesti",Dragonlance Campaign Setting,,Medium,Humanoid,Elf,Elf,Dargonesti,,
"Sea Elf, Dimernesti",Dragonlance Campaign Setting,,Medium,Humanoid,Elf,Elf,Dimernesti,,
Silvanesti,Dragonlance Campaign Setting,,Medium,Humanoid,Elf,Elf,Silvanesti,,
Tarmak,Dragonlance Campaign Setting,,Medium,Humanoid,Human,Human,Krynnish,Ithin'carthian,Tarmak
Thiewar,Dragonlance Campaign Setting,,Medium,Humanoid,Dwarf,Dwarf,Dark,Thiewar,
Arcane Guards,Drow of the Underdark,,Medium,Humanoid,Elf,Elf,Drow,Arcane Guard,
Drow Assassin,Drow of the Underdark,,Medium,Humanoid,Elf,Elf,Drow,Assassin,
Drow Inquisitor,Drow of the Underdark,,Medium,Humanoid,Elf,Elf,Drow,Inquisitor,
Drow Priestess,Drow of the Underdark,,Medium,Humanoid,Elf,Elf,Drow,Priestess,
Drow Slaver,Drow of the Underdark,,Medium,Humanoid,Elf,Elf,Drow,Slaver,
Drow Warrior,Drow of the Underdark,,Medium,Humanoid,Elf,Elf,Drow,Warrior,
"Elf, Albino Drow (Szarkai), Szarkai Provocateur",Drow of the Underdark,,Medium,Humanoid,Elf,Elf,Drow,Szarkai,Provocateur
Favoured Consort,Drow of the Underdark,,Medium,Humanoid,Elf,Elf,Drow,Favoured Consort,
Goblin Flesh-Herder,Drow of the Underdark,,Small,Humanoid,Goblinoid,Goblin,Flesh-Herder,,
"Goblinoid, Bugbear Overseer",Drow of the Underdark,,Medium,Humanoid,Goblinoid,Bugbear,Overseer,,
"Goblinoid, Bugbear Stonejack",Drow of the Underdark,,Medium,Humanoid,Goblinoid,Bugbear,Stonejack,,
Half-Drow,Drow of the Underdark,,Medium,Humanoid,Elf,Half-Elf,Drow,,
House Captain,Drow of the Underdark,,Medium,Humanoid,Elf,Elf,Drow,House Captain,
House Wizard,Drow of the Underdark,,Medium,Humanoid,Elf,Elf,Drow,House Wizard,
Lolth's Sting,Drow of the Underdark,,Medium,Humanoid,Elf,Elf,Drow,Lolth's Sting,
Spider Sentinel,Drow of the Underdark,,Medium,Humanoid,Elf,Elf,Drow,Spider Sentinel,
Szarkai Druid,Drow of the Underdark,,Medium,Humanoid,Elf,Elf,Drow,Szarkai,Druid
Szarkai Fighters,Drow of the Underdark,,Medium,Humanoid,Elf,Elf,Drow,Szarkai,Fighter
Vril,Drow of the Underdark,,Small,Humanoid,Goblinoid,Vril,,,
Belgoi,Dungeon #111 [Polyhedron #170],,Medium,Humanoid,"Belgoi, Psionic",Belgoi,,,
Memelith Human Bard,Dungeon #117,,Medium,Humanoid,Human,Human,Memelith,,
Anth-Malar,Dungeon #129,,Medium,Humanoid,,Human,Chosen of Malar,Anth-Malar,
Scorned Barbarian,Dungeon #136,,Medium,Humanoid,Human,Human,Barbarian,,
Scorned Fighter,Dungeon #136,,Medium,Humanoid,Human,Human,Scorned Fighter,,
Savage Pirate,Dungeon #140,,Medium,Humanoid,Chaotic,Human,Savage Pirate,,
Thumbvale Gnomes,Dungeon #151,,Small,Humanoid,,Gnome,Thumbvale,,
Gold Dwarf,Dungeon Master's Guide (Special Edition),,Medium,Humanoid,Dwarf,Dwarf,Gold,,
Half-Human Elf,Dungeon Master's Guide (Special Edition),,Medium,Humanoid,Elf,Half-Elf,Half-Human,,
Riot (Mob of Humans),Dungeon Master's Guide II,,Gargantuan,Humanoid,,Human,Mob,,
Kobold Skirmisher,Dungeons & Dragons Basic Game [Advanced Rule Book],,Small,Humanoid,Reptilian,Kobold,Skirmisher,,
Kobold Warrior,Dungeons & Dragons Basic Game [Advanced Rule Book],,Small,Humanoid,Reptilian,Kobold,Warrior,,
Orc Warrior,Dungeons & Dragons Basic Game [Advanced Rule Book],,Medium,Humanoid,Orc,Orc,Warrior,,
Troglodyte,Dungeons & Dragons Basic Game [Advanced Rule Book],,Medium,Humanoid,Reptilian,Troglodyte,,,
Half-Orc,Dungeons & Dragons Player's Kit [Player's Handbook v.3.5],,Medium,Humanoid,Orc,Half-Orc,,,
Changeling,Eberron Campaign Setting,,Medium,Humanoid,Shapechanger,Changeling,,,
Empty Vessel,Eberron Campaign Setting,,Medium,Humanoid,"Human, Psionic",Human,Inspired,Empty Vessel,
"Inspired, Tsucora Quori Spirit/Inspired Vessel",Eberron Campaign Setting,,Medium,Humanoid,"Human, Psionic",Human,Inspired,Tsucora Quori Spirit,
Kalashtar,Eberron Campaign Setting,,Medium,Humanoid,,Kalashtar,,,
Blue,Expanded Psionics Handbook,,Small,Humanoid,"Goblinoid, Psionic",Blue,,,
"Duergar, Psionic",Expanded Psionics Handbook,,Medium,Humanoid,"Dwarf, Psionic",Dwarf,Duergar,Psionic,
"Githyanki, Psionic",Expanded Psionics Handbook,,Medium,Humanoid,"Extraplanar, Psionic",Githyanki,Psionic,,
"Githzerai, Psionic",Expanded Psionics Handbook,,Medium,Humanoid,"Extraplanar, Psionic",Githzerai,Psionic,,
Xeph,Expanded Psionics Handbook,,Medium,Humanoid,"Psionic, Xeph",Xeph,,,
Dabus,Expedition to the Demonweb Pits,,Medium,Humanoid,Extraplanar,Dabus,,,
Gibbering Caveghoul,Faces of the Forgotten North,,Small,Humanoid,Dwarf,Gibbering Caveghoul,,,
Psychic Gibbering Caveghoul,Faces of the Forgotten North,,Small,Humanoid,Dwarf,Gibbering Caveghoul,Psychic,,
"Dark Ones, Dark Creeper",Fiend Folio,,Small,Humanoid,,Dark Ones,Dark Creeper,,
"Dark Ones, Dark Stalker",Fiend Folio,,Medium,Humanoid,,Dark Ones,Dark Stalker,,
Mongrelfolk,Fiend Folio,,Medium,Humanoid,Mongrelfolk,Mongrelfolk,,,
Selkie,Fiend Folio,,Medium,Humanoid,"Aquatic, Shapechanger",Selkie,,,
Skulk,Fiend Folio,,Medium,Humanoid,Skulk,Skulk,,,
Hellbred,Fiendish Codex II: Tyrants of the Nine Hells,,Medium,Humanoid,Hellbred,Hellbred,,,
Madborn Half-Elf,Five Nations,,Medium,Humanoid,Elf,Half-Elf,Madborn,,
Arctic Bugbear,Friend & Foe: The Elves and Bugbears of Tellene,,Medium,Humanoid,,Bugbear,Tellenian,Arctic,
Bugbear,Friend & Foe: The Elves and Bugbears of Tellene,,Medium,Humanoid,,Bugbear,Tellenian,,
Desert Bugbear,Friend & Foe: The Elves and Bugbears of Tellene,,Medium,Humanoid,,Bugbear,Tellenian,Desert,
Gray Elf,Friend & Foe: The Elves and Bugbears of Tellene,,Medium,Humanoid,Elf,Elf,Gray,Tellenian,
High Elf,Friend & Foe: The Elves and Bugbears of Tellene,,Medium,Humanoid,Elf,Elf,High,Tellenian,
Tel-Amhothlan,Friend & Foe: The Elves and Bugbears of Tellene,,Medium,Humanoid,Orc,Half-Orc,Tel-Amhothlan,,
Wild Elf,Friend & Foe: The Elves and Bugbears of Tellene,,Medium,Humanoid,Elf,Elf,Wild,Tellenian,
Wood Elf,Friend & Foe: The Elves and Bugbears of Tellene,,Medium,Humanoid,Elf,Elf,Wood,Tellenian,
Deep Gnome,Friend & Foe: The Gnomes and Kobolds of Tellene,,Small,Humanoid,Gnome,Gnome,Tellenian,Deep,
Forest Gnome,Friend & Foe: The Gnomes and Kobolds of Tellene,,Small,Humanoid,Gnome,Gnome,Tellenian,Forest,
Half-Deep Gnome,Friend & Foe: The Gnomes and Kobolds of Tellene,,Medium,Humanoid,Gnome,Half-Gnome,Tellenian,Deep,
Half-Forest Gnome,Friend & Foe: The Gnomes and Kobolds of Tellene,,Medium,Humanoid,Gnome,Half-Gnome,Tellenian,Forest,
Half-Rock Gnome,Friend & Foe: The Gnomes and Kobolds of Tellene,,Medium,Humanoid,Gnome,Half-Gnome,Tellenian,Rock,
Rock Gnome,Friend & Foe: The Gnomes and Kobolds of Tellene,,Small,Humanoid,Gnome,Gnome,Tellenian,Rock,
Cavefolk,Frilond Campaign,,Medium,Humanoid,Cavefolk,Human,Caveman,,
Night-Born Rider,Frilond Campaign,,Medium,Humanoid,"Evil, Extraplanar, Lawful, Night-born Rider",Night-Born Rider,,,
Night-Born Rider Champion,Frilond Campaign,,Medium,Humanoid,"Evil, Extraplanar, Lawful, Night-born Rider",Night-Born Rider,Champion,,
Shadow Goblin,Frilond Campaign,,Small,Humanoid,Reptilian,Shadow Goblin,,,
Shadow Goblin Captain,Frilond Campaign,,Small,Humanoid,Reptilian,Shadow Goblin,Captain,,
Winter Kobold,Frilond Campaign,,Small,Humanoid,"Cold, Reptilian",Kobold,Winter,,
Winter Witch,Frilond Campaign,,Small,Humanoid,"Cold, Reptilian",Kobold,Winter,Witch,
Glacier Dwarf,Frostburn,,Medium,Humanoid,Dwarf,Dwarf,Glacier,,
Ice Gnome,Frostburn,,Small,Humanoid,Gnome,Gnome,Ice,,
Neanderthal,Frostburn,,Medium,Humanoid,Human,Human,Neanderthal,,
"Orc, Snow Shaman",Frostburn,,Medium,Humanoid,Orc,Orc,Snow Shaman,,
Snow Elf,Frostburn,,Small,Humanoid,Elf,Elf,Snow,,
Snow Goblin,Frostburn,,Small,Humanoid,Goblinoid,Goblin,Snow,,
"Snow Hunter, Glacier Dwarf",Frostburn,,Medium,Humanoid,Dwarf,Dwarf,Glacier,Snow Hunter,
Tundra Halflings,Frostburn,,Small,Humanoid,Halfling,Halfling,Tundra,,
"Yuan-Ti Broodguard, Human",Ghostwalk + Ghostwalk Update for D&D v.3.5,,Medium,Humanoid,Reptilian,Yuan-Ti,Broodguard,Human,
"Yuan-Ti Tainted One, Human",Ghostwalk + Ghostwalk Update for D&D v.3.5,,Medium,Humanoid,Reptilian,Yuan-Ti,Tainted One,Human,
Tainted Raver Human,Heroes of Horror,,Medium,Humanoid,Human,Human,Tainted Raver,,
Drow Aquasa,Jungle Secrets,,Medium,Humanoid,Elf,Elf,Drow,Aquasa,
Drow Druid,Jungle Secrets,,Medium,Humanoid,Elf,Elf,Drow,Druid,
Drow Firebringer,Jungle Secrets,,Medium,Humanoid,Elf,Elf,Drow,Firebringer,
Drow Kaxat,Jungle Secrets,,Medium,Humanoid,Elf,Elf,Drow,Kaxat,
Drow Poisoner,Jungle Secrets,,Medium,Humanoid,Elf,Elf,Drow,Poisoner,
Drow Raider,Jungle Secrets,,Medium,Humanoid,Elf,Elf,Drow,Raider,
Drow Shaman,Jungle Secrets,,Medium,Humanoid,Elf,Elf,Drow,Shaman,
Phaethon,"Key of Destiny: Age of Mortals Campaign, Volume One",,Medium,Humanoid,"Elf, Fire",Phaethon,,,
"Dwarf, Dark Iron",Lands of Conflict,,Medium,Humanoid,Dwarf,Dwarf,Azeroth,Dark Iron,
Worgen,Lands of Conflict,,Medium,Humanoid,Worgen,Worgen,,,
Half-Vampire Gnoll,Libris Mortis: The Book of Undead,,Medium,Humanoid,,Half-Vampire,Gnoll,,
Rhul-Thaun,Life-Shaping Handbook,,Small,Humanoid,Rhul-Thaun,Halfling,Athasian,Rhul-thaun,
Rhulisti,Life-Shaping Handbook,,Small,Humanoid,Rhulisti,Halfling,Athasian,Rhulisti,
"Drow Werebat, Bat Form",Lost Empires of Faerûn,,Large,Humanoid,"Elf, Shapechanger",Elf,Drow,Lycanthrope,Werebat
"Drow Werebat, Drow Form",Lost Empires of Faerûn,,Medium,Humanoid,"Elf, Shapechanger",Elf,Drow,Lycanthrope,Werebat
"Drow Werebat, Hybrid Form",Lost Empires of Faerûn,,Large,Humanoid,"Elf, Shapechanger",Elf,Drow,Lycanthrope,Werebat
"Werecat, Cat Form",Lost Empires of Faerûn,,Small,Humanoid,"Human, Shapechanger",Human,Lycanthrope,Werecat,
"Werecat, Human Form",Lost Empires of Faerûn,,Medium,Humanoid,"Human, Shapechanger",Human,Lycanthrope,Werecat,
"Werecat, Hybrid Form",Lost Empires of Faerûn,,Medium,Humanoid,"Human, Shapechanger",Human,Lycanthrope,Werecat,
"Werecrocodile, Crocodile Form",Lost Empires of Faerûn,,Medium,Humanoid,"Human, Shapechanger",Human,Lycanthrope,Werecrocodile,
"Werecrocodile, Human Form",Lost Empires of Faerûn,,Medium,Humanoid,"Human, Shapechanger",Human,Lycanthrope,Werecrocodile,
"Werecrocodile, Hybrid Form",Lost Empires of Faerûn,,Medium,Humanoid,"Human, Shapechanger",Human,Lycanthrope,Werecrocodile,
"Wereshark, Human Form",Lost Empires of Faerûn,,Medium,Humanoid,"Human, Shapechanger",Human,Lycanthrope,Wereshark,
"Wereshark, Hybrid Form",Lost Empires of Faerûn,,Large,Humanoid,"Human, Shapechanger",Human,Lycanthrope,Wereshark,
"Wereshark, Shark Form",Lost Empires of Faerûn,,Large,Humanoid,"Human, Shapechanger",Human,Lycanthrope,Wereshark,
Inspired Inquisitor,Magic of Eberron,,Medium,Humanoid,"Human, Psionic",Human,Inspired,Dream Master Quori Spirit,
Inspired Shock Trooper,Magic of Eberron,,Medium,Humanoid,"Human, Psionic",Human,Inspired,Tsoreva Quori Spirit,
Azurin,Magic of Incarnum,,Medium,Humanoid,"Human, Incarnum",Azurin,,,
Azurin Cleric,Magic of Incarnum,,Medium,Humanoid,"Human, Incarnum",Azurin,Cleric,,
Azurin Soulborn,Magic of Incarnum,,Medium,Humanoid,"Human, Incarnum",Azurin,Soulborn,,
Azurin Warrior,Magic of Incarnum,,Medium,Humanoid,"Human, Incarnum",Azurin,Warrior,,
Lost Human,Magic of Incarnum,,Medium,Humanoid,Incarnum,Human,Lost,,
Rilkan,Magic of Incarnum,,Medium,Humanoid,Reptilian,Rilkan,,,
Rilkan Incarnate,Magic of Incarnum,,Medium,Humanoid,"Incarnum, Reptilian",Rilkan,,,
Rilkan Rogue,Magic of Incarnum,,Medium,Humanoid,Reptilian,Rilkan,,,
Rilkan Warrior,Magic of Incarnum,,Medium,Humanoid,Reptilian,Rilkan,,,
Skarn,Magic of Incarnum,,Medium,Humanoid,Reptilian,Skarn,,,
Skarn Incarnate,Magic of Incarnum,,Medium,Humanoid,"Incarnum, Reptilian",Skarn,Incarnate,,
Skarn Monk,Magic of Incarnum,,Medium,Humanoid,Reptilian,Skarn,Monk,,
Skarn Warrior,Magic of Incarnum,,Medium,Humanoid,Reptilian,Skarn,Warrior,,
Draenei,Manual of Monsters,,Medium,Humanoid,Draenei,Draenei,,,
Gnoll,Manual of Monsters,,Medium,Humanoid,Gnoll,Gnoll,,,
Gnoll Assassin,Manual of Monsters,,Medium,Humanoid,Gnoll,Gnoll,Assassin,,
Gnoll Brute,Manual of Monsters,,Medium,Humanoid,Gnoll,Gnoll,Brute,,
Gnoll Poacher,Manual of Monsters,,Medium,Humanoid,Gnoll,Gnoll,Poacher,,
Gnoll Warden,Manual of Monsters,,Medium,Humanoid,Gnoll,Gnoll,Warden,,
Kobold,Manual of Monsters,,Small,Humanoid,Kobold,Kobold,Azeroth,,
Pandaren Geomancer,Manual of Monsters,,Medium,Humanoid,Pandaren,Pandaren,Geomancer,,
Pandaren Pikeman,Manual of Monsters,,Medium,Humanoid,Pandaren,Pandaren,Pikeman,,
Pandaren Shodo-Pan,Manual of Monsters,,Medium,Humanoid,Pandaren,Pandaren,Shodo-Pan,,
Pandaren Wardancer,Manual of Monsters,,Medium,Humanoid,Pandaren,Pandaren,Wardancer,,
Trogg,Manual of Monsters,,Medium,Humanoid,Trogg,Trogg,,,
Catfolk,Miniatures Handbook,,Medium,Humanoid,Catfolk,Catfolk,,,
Crucian,Miniatures Handbook,,Medium,Humanoid,Reptilian,Crucian,,,
Aquatic Elf,Monster Manual (Special Edition),,Medium,Humanoid,Elf,Elf,Aquatic,,
Deep Dwarf,Monster Manual (Special Edition),,Medium,Humanoid,Dwarf,Dwarf,Deep,,
Deep Halfling,Monster Manual (Special Edition),,Small,Humanoid,Halfling,Halfling,Deep,,
Goblin,Monster Manual (Special Edition),,Small,Humanoid,Goblinoid,Goblin,,,
Locathah,Monster Manual (Special Edition),,Medium,Humanoid,Aquatic,Locathah,,,
Merfolk,Monster Manual (Special Edition),,Medium,Humanoid,Aquatic,Merfolk,,,
Orc,Monster Manual (Special Edition),,Medium,Humanoid,Orc,Orc,,,
Svirfneblin,Monster Manual (Special Edition),,Small,Humanoid,Gnome,Gnome,Svirfneblin,,
Tallfellow,Monster Manual (Special Edition),,Small,Humanoid,Halfling,Halfling,Tallfellow,,
"Werebear, Bear Form",Monster Manual (Special Edition),,Large,Humanoid,"Human, Shapechanger",Human,Lycanthrope,Werebear,
"Werebear, Human Form",Monster Manual (Special Edition),,Medium,Humanoid,"Human, Shapechanger",Human,Lycanthrope,Werebear,
"Werebear, Hybrid Form",Monster Manual (Special Edition),,Large,Humanoid,"Human, Shapechanger",Human,Lycanthrope,Werebear,
"Wereboar, Boar Form",Monster Manual (Special Edition),,Medium,Humanoid,"Human, Shapechanger",Human,Lycanthrope,Wereboar,
"Wereboar, Human Form",Monster Manual (Special Edition),,Medium,Humanoid,"Human, Shapechanger",Human,Lycanthrope,Wereboar,
"Wereboar, Hybrid Form",Monster Manual (Special Edition),,Medium,Humanoid,"Human, Shapechanger",Human,Lycanthrope,Wereboar,
"Wererat, Dire Rat Form",Monster Manual (Special Edition),,Small,Humanoid,"Human, Shapechanger",Human,Lycanthrope,Wererat,
"Wererat, Human Form",Monster Manual (Special Edition),,Medium,Humanoid,"Human, Shapechanger",Human,Lycanthrope,Wererat,
"Wererat, Hybrid Form",Monster Manual (Special Edition),,Medium,Humanoid,"Human, Shapechanger",Human,Lycanthrope,Wererat,
"Weretiger, Human Form",Monster Manual (Special Edition),,Medium,Humanoid,"Human, Shapechanger",Human,Lycanthrope,Weretiger,
"Weretiger, Hybrid Form",Monster Manual (Special Edition),,Large,Humanoid,"Human, Shapechanger",Human,Lycanthrope,Weretiger,
"Weretiger, Tiger Form",Monster Manual (Special Edition),,Large,Humanoid,"Human, Shapechanger",Human,Lycanthrope,Weretiger,
"Werewolf Lord, Dire Wolf Form",Monster Manual (Special Edition),,Large,Humanoid,"Human, Shapechanger",Human,Lycanthrope,Werewolf,Lord
"Werewolf Lord, Human Form",Monster Manual (Special Edition),,Medium,Humanoid,"Human, Shapechanger",Human,Lycanthrope,Werewolf,Lord
"Werewolf Lord, Hybrid Form",Monster Manual (Special Edition),,Large,Humanoid,"Human, Shapechanger",Human,Lycanthrope,Werewolf,Lord
"Werewolf, Human Form",Monster Manual (Special Edition),,Medium,Humanoid,"Human, Shapechanger",Human,Lycanthrope,Werewolf,
"Werewolf, Hybrid Form",Monster Manual (Special Edition),,Medium,Humanoid,"Human, Shapechanger",Human,Lycanthrope,Werewolf,
"Werewolf, Wolf Form",Monster Manual (Special Edition),,Medium,Humanoid,"Human, Shapechanger",Human,Lycanthrope,Werewolf,
Changeling Spy,Monster Manual III,,Medium,Humanoid,Shapechanger,Changeling,Spy,,
Flind,Monster Manual III,,Medium,Humanoid,Gnoll,Gnoll,Flind,,
Forestkith Goblin,Monster Manual III,,Small,Humanoid,Goblinoid,Goblin,Forestkith,,
Forestkith Goblin Barbarian,Monster Manual III,,Small,Humanoid,Goblinoid,Goblin,Forestkith,Barbarian,
"Gnoll, Flind",Monster Manual III,,Medium,Humanoid,Gnoll,Gnoll,Flind,,
Kenku,Monster Manual III,,Medium,Humanoid,Kenku,Kenku,,,
Kenku Sneak,Monster Manual III,,Medium,Humanoid,Kenku,Kenku,Sneak,,
"Lizardfolk, Poison Dusk",Monster Manual III,,Small,Humanoid,Reptilian,Lizardfolk,Poison Dusk,,
