Name,Source,Size,Type,Subtypes,Environment,CR,Classify 1,Classify 2,Classify 3,Classify 4
"Insectoid, Woblin",Creature Catalogue,Medium,Monstrous Humanoid,,Any land and underground,1,Insectoid,Woblin,,
Intellect Devourer,Psionics Handbook,Small,Aberration,,"Temperate and warm hill, mountains, and underground",6,Intellect Devourer,,,
Invisible Stalker,Monster Manual,Large,Elemental,Air,Any land and underground,7,Invisible Stalker,,,
Irish Deer,Creature Catalogue,Large,Beast,,Temperate forest,3,Megaloceros,,,
Iron Cobra,Creature Catalogue,Small,Construct,,Any land and underground,1,Iron Cobra,,,
Iron Colossus,Epic Level Handbook,Colossal,Construct,,Any,33,Colossus,Iron,,
Iron Golem,Monster Manual,Large,Construct,,Any land,13,Golem,Iron,,
Iron Half-Golem,Monster Manual II,Medium,Construct,,Any land and underground,4,Half-Golem,Iron,,
Iron Maiden,Polyhedron #145,Huge,Construct,,Any land,7,Iron Maiden,,,
Ironmaw,Fiend Folio,Huge,Plant,Extraplanar,"Temperate and warm forest, hill, and marsh (Abyss)",13,Ironmaw,,,
Ironmaw Seedling,Dragon #308,Large,Plant,Extraplanar,,10,Ironmaw,Seedling,,
Ixitxachitl,Creature Catalogue,Medium,Aberration,Water,Warm aquatic,1,Ixitxachitl,,,
"Ixitxachitl, Greater Vampiric",Creature Catalogue,Large,Undead,,Warm aquatic,7,Ixitxachitl,Vampiric,Greater,
"Ixitxachitl, Vampiric",Creature Catalogue,Medium,Undead,,Warm aquatic,3,Ixitxachitl,Vampiric,,
Jabberwock,Creature Catalogue,Huge,Aberration,,Any forest,17,Jabberwock,,,
Jack Frost,Denizens of Darkness,Small,Fey,Cold,Mountains and cold lands,3,Jack Frost,,,
Jackal Lord,Fiend Folio,Medium,Monstrous Humanoid,,Any desert and underground,8,Jackal Lord,,,
Jackalwere,Creature Catalogue,Medium,Shapechanger,,Temperate land,4,Jackalwere,,,
"Jacques Dauphant, Necropolitan Wight",Ravenloft Gazetteer: Volume II,Medium,Undead,,,6,Wight,Necropolitan,Human Wererat,
Jaculi,Tome of Horrors,Large,Beast,,Temperate forest and underground,1/2,Snake,Jaculi,,
Jade Dragon,Creatures of Rokugan,Large,Dragon,Earth,Tengoku,8,Dragon,Rokugan,Jade,
Jade Locust,Arms and Equipment Guide,Tiny,Construct,,,1/2,Locust,Jade,,
Jade Spider,City of the Spider Queen,Gargantuan,Construct,,Any underground,14,Spider,Jade,,
"Jadis Ranherdt, Necropolitan Shadow",Ravenloft Gazetteer: Volume II,Medium,Undead,,,5,Shadow,Necropolitan,Human,
Jagre,"Bestiary of the Realms, Volume 1",Large,Shapechanger,,Any land or underground (Maztica),8,Jagre,,,
Jaguar Lord,"Bestiary of the Realms, Volume 1",Large,Magical beast,,Warm forest (Maztica),7,Tabaxi,Lord,,
Jahi,Monster Manual II,Tiny,Undead,Incorporeal,Any land and underground,16,Jahi,,,
Janni,Monster Manual,Medium,Outsider,,Any land,4,Genie,Janni,,
Janni (Genie),Savage Species,Medium,Outsider,,,,Genie,Janni,,
Jaracacas,Book of Shadows,Medium,Magical Beast,,Warm deserts and undergound,2,Jaracacas,,,
Jawg,Dragon #281,Huge,Aberration,,Underground,14,Jawg,,,
Jelly Tooth,Garden of the Plantmaster,Small,Plant,,Temperate and warm forest,2,Jelly Tooth,,,
Jermlaine,Creature Catalogue,Tiny,Humanoid,Jermlaine,Any underground,1/8,Jermlaine,,,
Jerren,Book of Vile Darkness,Small,,,,-,Halfling,Jerren,,
Jiki-Ketsu-Gaki,Oriental Adventures,Medium,Undead,Spirit,Any land,6,Gaki,Jiki-Ketsu-Gaki,,
Jiki-Kwa,Fortunes & Winds,,Undead,Incorporeal,,,Gaki,Jiki-Kwa,,
Jiki-Min,Fortunes & Winds,,Undead,Incorporeal,,,Gaki,Jiki-Min,,
Jiki-Niku-Gaki,Oriental Adventures,Medium,Undead,Spirit,Any land,1,Gaki,Jiki-Niku-Gaki,,
Jolly Roger,Denizens of Darkness,Medium,Undead,,Aquatic (any sea),6,Jolly Roger,,,
Jor,Creature Catalogue,Medium,Humanoid,Orc,Any marsh,2,Jor,,,
Jordain-Born,House Jordain of Halruaa,,Template,,Any land (Halruaa),1,Jordain-Born,,,
Jotunheim Frost Giant,Deities and Demigods,Gargantuan,Outsider,"Cold, Evil",,,Giant,Frost,Jotunheim,
Ju-Chu,Fortunes & Winds,,Undead,Incorporeal,,,Gaki,Ju-Chu,,
Juggernaut,Creature Catalogue,Huge,Construct,,Any land and underground,7,Juggernaut,,,
Juiblex (The Faceless Lord),Creature Catalogue,Large,Outsider,"Chaotic, Evil",Any land and underground,27,Demon,Lord,Juiblex,
"Juiblex, the Faceless Lord",Book of Vile Darkness,Large,Outsider,"Chaotic, Evil",Any land and underground,20,Demon,Lord,Juiblex,
Juju Zombie,Creature Catalogue,,Template,,Any land and underground,1,Zombie,Juju,,
Juju Zombie Bugbear,Unapproachable East,Medium,Undead,,Any land,4,Zombie,Juju,Bugbear,
Julaijmus,Monster Manual II,Huge,Aberration,,Temperate forests,12,Julaijmus,,,
Julajimus,Dragon Annual #5,Huge,Aberration,,Temperate forests,12,Julajimus,,,
Jupiter Bloodsucker,Creature Catalogue,Medium,Plant,,Any land,3,Jupiter Bloodsucker,,,
Juvenile Arrowhawk,Monster Manual,Small,Outsider,Air,Any land and underground,3,Arrowhawk,Juvenile,,
Juvenile Tojanida,Monster Manual,Small,Outsider,Water,Any aquatic and underground,3,Tojanida,Juvenile,,
K'r'r'r,Monsters of the Void,Medium,Monstrous Humanoid,,"Wildspace, jungle",1,K'r'r'r,,,
Kaiju,Dragon #289,Colossal,Template,,,15,Kaiju,,,
Kakkuu (Spider Demon),Creature Catalogue,Medium,Outsider,"Chaotic, Evil",Any land and underground,7,Demon,Spider Demon,Kakkuu,
Kalamaran,Kingdoms of Kalamar Player's Guide,Medium,Humanoid,,,,Human,Tellenian,Kalamaran,
Kalmari,"Bestiary of the Realms, Volume 1",Medium,Outsider,"Evil, Lawful",Any land or underground,6,Kalmari,,,
Kamadan,Creature Catalogue,Large,Magical Beast,,Any land,4,Kamadan,,,
Kampfult (Sinewy Mugger),Tome of Horrors,Medium,Plant,,Any underground,2,Kampfult,,,
Kamu no Oni,Oriental Adventures,Large,Outsider,"Evil, Shadowlands",Shadowlands,10,Oni,Shadowlands,Kamu no Oni,
"Kanashimi, Onisu of Regret, Nightmare of the Dragon",Secrets of the Dragon,Large,Outsider,"Evil, Oni, Shadowlands, Spirit","Shadowlands, Yume-do, any land and underground",18,Onisu,Kanashimi,,
Kansen,Rokugan Campaign Setting,Medium,Outsider,Incorporeal,Any,2,Kansen,,,
Kaorti,Fiend Folio,Medium,Outsider,"Evil, Extraplanar",Any nonnatural (Far Realm),1,Kaorti,,,
Kappa,Oriental Adventures,Small,Monstrous Humanoid,Aquatic,Any aquatic,2,Kappa,,,
Kargi,Strength and Honor: The Mighty Hobgoblins of Tellene,Medium,Humanoid,Goblinoid,,,Hobgoblin,Tellenian,Kargi,
Kech,Creature Catalogue,Medium,Beast,,Any forest,3,Kech,,,
Keening Spirit,City of the Spider Queen,,Template,,,,Keening Spirit,,,
Keeper,Fiend Folio,Medium,Outsider,Extraplanar,Any (unknown plane),7,Keeper,,,
Kelp Angler,Fiend Folio,Large,Plant,Aquatic,Any aquatic or coastal,9,Kelp Angler,,,
Kelp Devil,Creature Catalogue,Huge,Plant,,Temperate and warm aquatic and underground,8,Kelp Devil,,,
Kelpie,Creature Catalogue,Medium,Plant,Aquatic,Any aquatic and underground,4,Kelpie,,,
Kelubar (Slime) (Demodand),Creature Catalogue,Medium,Outsider,"Chaotic, Evil",Any land and underground,16,Demodand,Kelubar,,
Kender,Dungeon #86,Small,Humanoid,Kender,All,1/2,Kender,,,
Kenku,Creatures of Rokugan,Medium,Fey,,Deep forest,2,Kenku,Rokugan,,
Kenku (Average),Creature Catalogue,Medium,Monstrous Humanoid,,Any land,2,Kenku,,,
"Kenku, Clan Elder",Creature Catalogue,Medium,Monstrous Humanoid,,Any land,2,Kenku,Clan Elder,,
"Kenku, Clan Guard",Creature Catalogue,Medium,Monstrous Humanoid,,Any land,3,Kenku,Clan Guard,,
"Kenku, Clan Leader",Creature Catalogue,Medium,Monstrous Humanoid,,Any land,4,Kenku,Clan Leader,,
Khaasta,Fiend Folio,Medium,Monstrous Humanoid,"Extraplanar, Reptilian",Any land and underground (Outlands),3,Khaasta,,,
Khargra,Creature Catalogue,Small,Outsider,Earth,Any land and underground,4,Khargra,,,
Kheirdeam,Mahasarpa Campaign (A Campaign Option Web Enhancement for Oriental Adventures,,,,,,Vaati,Kheirdeam,,
Khielshor Death Knight,Lost Tomb of Kruk-Ma-Kali,Medium,Undead,,Any,12,Death Knight,Khielshor,,
Ki-rin,Creature Catalogue,Large,Magical Beast,,Any land,13,Ki-rin,,,
Ki-rin Wardog,Creatures of Rokugan,Medium,Animal,,Any land,3,Ki-rin Wardog,,,
Killer Grass,"Bestiary of the Realms, Volume 1",Tiny,Plant,,"Any temperate or warm forest, hill, marsh or plain",1/2,Killer Grass,,,
Killmoulis,Creature Catalogue,Diminutive,Fey,,Any land or underground,1/6,Killmoulis,,,
Kindori,Monsters of the Void,Colossal,Magical Beast,,Any space,11,Kindori,,,
Kir-Lanan,Races of Faerûn,Medium,Monstrous Humanoid,,,,Kir-Lanan,,,
Kiri No Oni,Creatures of Rokugan,Huge,Magical Beast,"Oni, Shadowlands",Shadowlands,10,Kiri No Oni,,,
Kirre,Creature Catalogue,Large,Magical Beast,,"Any forest, hill, mountains, and plains",5,Kirre,,,
Kitsu,Creatures of Rokugan,Medium,Magical Beast,,Any mountains and any plains,3,Kitsu,,,
Kitsune,Creatures of Rokugan,Medium,Fey,Spirit,Any land,1,Kitsune,,,
Kitsune-Tsuki,Fortunes & Winds,Medium,Undead,"Incorporeal, Spirit",Any land,5,Kitsune-Tsuki,,,
Kizoku,Denizens of Darkness,Medium,Monstrous Humanoid,,Any land (Rokushima Táiyoo),7,Kizoku,,,
Kobold,Monster Manual,Small,Humanoid,Reptilian,Any forest and underground,1/6,Kobold,,,
Kobold Wraith,Savage Species,Small,Undead,Incorporeal,Any land and underground,5,Wraith,Kobold,,
Koku No Seishin,Secrets of the Shadowlands,Medium,Outsider,"Shadowlands, Spirit","Deep Shadowlands, any land and underground",15,Koku No Seishin,,,
Kopru,Monster Manual II,Medium,Monstrous Humanoid,Aquatic,"Warm aquatic, marsh",6,Kopru,,,
Korobokuru,Oriental Adventures,Small,Humanoid,Dwarf,Warm mountains,1/2,Korobokuru,,,
Korred,Creature Catalogue,Small,Fey,,Temperate forest,4,Korred,,,
Kors,Strength and Honor: The Mighty Hobgoblins of Tellene,Medium,Humanoid,Goblinoid,,,Hobgoblin,Tellenian,Kors,
Kostchtchie (Demon Lord),Creature Catalogue,Medium,Outsider,"Chaotic, Evil",Any land and underground,28,Demon,Lord,Kostchtchie,
Krajen,Monsters of the Void,Huge,Beast,,Any space,9,Krajen,Adult,,
"Krajen, Im",Monsters of the Void,Small,Beast,,Any space,1,Krajen,Adult,,
Kraken,Monster Manual,Gargantuan,Magical Beast,Aquatic,Any aquatic,12,Kraken,,,
Krakentua,Creature Catalogue,Colossal,Aberration,,Temperate and warm aquatic,30,Krakentua,,,
Krangi,Strength and Honor: The Mighty Hobgoblins of Tellene,Medium,Humanoid,Goblinoid,,,Hobgoblin,Tellenian,Krangi,
Krenshar,Monster Manual,Medium,Magical Beast,,Temperate and warm forest and plains,1,Krenshar,,,
Krotter,"Bestiary of the Realms, Volume 1",Large,Animal,,"Cold forests, hills, and mountains",2,Krotter,,,
Kuei,Oriental Adventures,,Undead,Spirit,,,Kuei,,,
Kuldurath,Fiend Folio,Large,Magical Beast,Extraplanar,Any plains or hills (Outlands),8,Kuldurath,,,
Kumo,Creatures of Rokugan,Medium,Shapechanger,Shadowlands,"Any forest, wilderness, and city",2,Kumo,,,
"Kuni Wazinu, Crab Clan Freed Yokai",Fortunes & Winds,Medium,Humanoid,Spirit,Any land,9,Human,Freed Yokai,,
Kuo-Toa,Monster Manual,Medium,Monstrous Humanoid,Aquatic,Any aquatic and underground,2,Kuo-Toa,,,
Kuo-Toa Scarlet Child,Dungeon #85,Medium,Plant,,Any underground,3,Scarlet Child,Kuo-Toa,,
Kupuk,"Bestiary of the Realms, Volume 1",Medium,Magical beast,Cold,Any arctic (Great Glacier),2,Kupuk,,,
Kurge,Dragon Annual #5,Medium,Undead,,Any,6,Kurge,,,
Kusatte Iru,Creatures of Rokugan,Colossal,Outsider,Shadowlands,Shadowlands,20,Kusatte Iru,,,
"Kyofu, Onisu of Fear, Nightmare of the Crab",Secrets of the Crab,Large,Outsider,"Evil, Oni, Shadowlands, Spirit","Shadowlands, Yume-do, any land and underground",18,Onisu,Kyofu,,
Kyoso no Oni,Oriental Adventures,Large,Outsider,"Evil, Shadowlands",Shadowlands,13,Oni,Shadowlands,Kyoso no Oni,
Kyseth,Villain Design Handbook,,Template,,Any desert and underground,0,Kyseth,,,
Kython Kython,Book of Vile Darkness,Medium,Aberration,,Any land and underground,5,Kython,Adult,,
"Kython, Broodling",Book of Vile Darkness,Small,Aberration,,Any land and underground,1,Kython,Broodling,,
"Kython, Juvenile Kython",Book of Vile Darkness,Medium,Aberration,,Any land and underground,3,Kython,Juvenile,,
Kyton,Monster Manual,Medium,Outsider,"Evil, Lawful",Any land and underground,6,Devil,Kyton,,
Kyton (Devil),Savage Species,Medium,Outsider,"Evil, Lawful",,,Devil,Kyton,,
Lacedon,Monster Manual,Medium,Undead,Aquatic,Any aquatic,1,Ghoul,Lacedon,,
Laika,New Character Races for Savage Species (A Savage Species Web Enhancement,Medium,Humanoid,,"Any forest, hills, plains, and mountains",1,Laika,,,
"Lake Serpent, Undead",Ravenloft Gazetteer: Volume I,Gargantuan,Undead,Aquatic,Any aquatic (Lake of Red Tears),13,Undead Lake Serpent,,,
Lakshu,Monsters of the Void,Medium,Humanoid,,Any,5,Lakshu,,,
Lamash,Garden of the Plantmaster,Large,Outsider,"Chaotic, Evil",Temperate and warm forest,14,Demon,Lamash the Wood Demon,,
Lamia,Monster Manual,Medium,Magical Beast,,"Any desert, hill, and underground",6,Lamia,,,
Lamia Noble,Creature Catalogue,,Template,,,2,Lamia,Noble,,
Lammasu,Monster Manual,Large,Magical Beast,,Any warm land and underground,8,Lammasu,,,
Land Lamphrey,Tome of Horrors,Small,Beast,,Any temperate land and underground,1,Lamprey,Land,,
Lantern Archon,Monster Manual,Small,Outsider,"Good, Lawful",Any land and underground,2,Archon,Lantern,,
Laraken,"Bestiary of the Realms, Volume 1",Large,Outsider,Evil,Temperate or warm marsh,11,Laraken,,,
Large Animated Tree,Garden of the Plantmaster,Large,Plant,,Any land,4,Animated Tree,Large,,
Large Gargoyle,Dungeon #84,Large,Magical Beast,,,4,Gargoyle,Large,,
Large Monstrous Redspotted Centipede,Dungeon #84,Large,Vermin,,,1 1/2,Centipede,Monstrous,Large Redspotted,
Large Skeleton,Monster Manual,Large,Undead,,Any land and underground,1,Skeleton,Large,,
Large Zombie,Monster Manual,Large,Undead,,Any land and underground,1,Zombie,Large,,
Larva,Creature Catalogue,Medium,Outsider,Evil,Any land and underground,1/2,Larva,,,
Larval Feyr,Dragon Annual #5,Diminutive,Aberration,,Urban,1/4,Fihyr,Larval,,
Lashenza,Garden of the Plantmaster,Huge,Animal,Aquatic,Temperate and warm aquatic,6,Lashenza,,,
Lava Child,Tome of Horrors,Medium,Humanoid,"Fire, Lava Child",Any warm underground,3,Lava Child,,,
Lava Children,Creature Catalogue,Medium,Humanoid,"Fire, Lave Children",Any warm underground,3,Lava Child,,,
Lava Wurm,Dragon #296,,Dragon,,Any mountains and underground (volcanoes),5 to 23,Wurm,Lava,,
Lavawight,Epic Level Handbook,Medium,Undead,Fire,Any,23,Wight,Lavawight,,
Lavaworm,Monsters of the Void,Medium,Elemental,"Earth, Fire","Any Fire planet, Elemental Plane of Earth or Fire, magma",4,Lavaworm,,,
Lead Devil,Dragon #306,Large,Outsider,"Earth, Evil, Lawful",Any land and underground,13,Devil,Hellforged,Lead,
Leanan Sidhe,The Leanan Sidhe: Inspiration with a Price,Medium,Fey,,"Any forest, plains, or hills",1,Leanan Sidhe,,,
Least Sharjani,Harvest of Darkness,,Template,,,1,Sharjan,Least,,
Least Spirit Centipede,Oriental Adventures,Diminutive,Outsider,Spirit,Warm or temperate land,1/2,Spirit Centipede,Least,,
Lebendtod,Denizens of Darkness,,Template,,Any land (Graben Island),1,Lebendtod,,,
"Leech, Giant",Tome of Horrors,Medium,Vermin,,Any marsh and aquatic,2,Leech,Giant,,
"Leech, Witchbane",Denizens of Darkness,Fine,Vermin,,Any marsh,1/4,Leech,Witchbane,,
Leechwalker,Monster Manual II,Medium,Vermin,,Any marsh or underground,10,Leechwalker,,,
"Leevoth, Shade Captain",Forgotten Realms Campaign Setting,Medium,Outsider,,,13,Shade,Human,Leevoth,
Legendary Ape,Masters of the Wild,Medium,Animal,,"Warm forest and mountains, and underground",7,Ape,Legendary,,
Legendary Bear,Epic Level Handbook,Large,Animal,,"Any forest, hill, mountains, plains, or underground",9,Bear,Legendary,,
Legendary Eagle,Masters of the Wild,Small,Animal,,"Any forest, hill, plains, and mountains",6,Eagle,Legendary,,
Legendary Horse,Masters of the Wild,Large,Animal,,Any land,8,Horse,Legendary,,
Legendary Shark,Masters of the Wild,Huge,Animal,,Any aquatic,10,Shark,Legendary,,
Legendary Snake,Masters of the Wild,Large,Animal,,"Temperate and warm land, aquatic, and underground",8,Snake,Legendary,,
Legendary Tiger,Epic Level Handbook,Large,Animal,,"Any forest, hill, mountains, plains, and underground",10,Tiger,Legendary,,
Legendary Wolf,Masters of the Wild,Medium,Animal,,"Any forest, hill, mountain, plains, and underground",7,Wolf,Legendary,,
Lemure (Baatezu),Monster Manual,Medium,Outsider,"Evil, Lawful",Any land and underground,1,Devil,Baatezu,Lemure,
Leomarh,Creature Catalogue,Medium,Outsider,,Any plains and forest,6,Leomarh,,,
Leopard,Monster Manual,Medium,Animal,,Warm forest and plains,2,Leopard,,,
Leopard Familiar,Tome and Blood,Medium,Magical Beast,,,,Leopard,Familiar,,
Leprechaun,Aldriv's Revenge,Tiny,Fey,,,,Leprechaun,,,
Lernaean,Monster Manual,Huge,Beast,,Any marsh and underground,3,Hydra,Lernaean,,
Lernaean Creature,Two Heads Are Better Than One… and Three Are Better Than Two,,,,,,Multiheaded,Lernaean,,
Lernaean Cryohydra,Monster Manual,Huge,Beast,Cold,Any marsh and underground,4,Hydra,Cryohydra,Lernaean,
Lernaean Pyrohydra,Monster Manual,Huge,Beast,Fire,Any marsh and underground,4,Hydra,Pyrohydra,Lernaean,
LeShay,Epic Level Handbook,Medium,Fey,,Any,28,Leshay,,,
Leshii,Dragon #290,Medium,Fey,,Temperate and cold forest,3,Leshii,,,
Leshy,Creature Catalogue,Medium,Fey,,Temperate and warm forest and hills,1,Leshy,,,
Lesser Dread,Dragon #277,Medium,Outsider,"Chaotic, Evil",Abyss (Belistor),6,Demon,Dread,Lesser,
Lesser Dream Spawn (Gray Morph),Denizens of Darkness,Small,Outsider,Evil,Any land and underground (dreams),3,Dream Spawn,Lesser,Gray Morph,
Lesser Dream Spawn (Shadow Morph),Denizens of Darkness,Medium,Outsider,Evil,Any land and underground (dreams),5,Dream Spawn,Lesser,Shadow Morph,
Lesser Feyr,Dragon Annual #5,Small,Aberration,,Urban,2,Fihyr,,,
Lesser Flame Snake,Fiend Folio,Medium,Magical Beast,Fire,Any land and underground,7,Flame Snake,Lesser,,
Lesser Iron Golem,Harvest of Darkness,Large,Construct,,,6,Golem,Iron,Lesser,
Lesser Sharjani,Harvest of Darkness,,Template,,,1,Sharjan,Lesser,,
Lesser Spirit Centipede,Oriental Adventures,Tiny,Outsider,Spirit,Warm or temperate land,1,Spirit Centipede,Lesser,,
Lesser Varrangoin,Fiend Folio,Medium,Magical Beast,Extraplanar,Any land or underground (Abyss),6,Varrangoin,Lesser,,
Leucrotta,Midnight's Terror,Large,Beast,,,5,Leucrotta,,,
Leviathan,Monster Manual II,Colossal,Magical Beast,Aquatic,Any aquatic,25,Leviathan,,,
"Levistus, Lord of the Fifth",Book of Vile Darkness,Medium,Outsider,"Evil, Lawful",Any land and underground,25,Devil,Archdevil,Levistus,
"Lhee, Common",Monsters of the Void,Small,Beast,,Any,4,Lhee,Common,,
"Lhee, Greater",Monsters of the Void,Medium,Beast,,Any,6,Lhee,Greater,,
"Lhee, Lesser",Monsters of the Void,Tiny,Beast,,Any,2,Lhee,Lesser,,
Li Lung (Earth Dragon),Oriental Adventures,Large,Dragon,"Earth, Spirit",Warm land and underground,13,Dragon,Lung,Li Lung,Adult
"Li Lung (Earth Dragon), Ancient",Oriental Adventures,Huge,Dragon,"Earth, Spirit",Warm land and underground,21,Dragon,Lung,Li Lung,Ancient
"Li Lung (Earth Dragon), Great Wyrm",Oriental Adventures,Gargantuan,Dragon,"Earth, Spirit",Warm land and underground,24,Dragon,Lung,Li Lung,Great Wyrm
"Li Lung (Earth Dragon), Juvenile",Oriental Adventures,Medium,Dragon,"Earth, Spirit",Warm land and underground,8,Dragon,Lung,Li Lung,Juvenile
"Li Lung (Earth Dragon),  Adult",Oriental Adventures,Huge,Dragon,"Earth, Spirit",Warm land and underground,15,Dragon,Lung,Li Lung, Adult
"Li Lung (Earth Dragon), Old",Oriental Adventures,Huge,Dragon,"Earth, Spirit",Warm land and underground,18,Dragon,Lung,Li Lung,Old
"Li Lung (Earth Dragon), Very Old",Oriental Adventures,Huge,Dragon,"Earth, Spirit",Warm land and underground,19,Dragon,Lung,Li Lung,Very Old
"Li Lung (Earth Dragon), Wyrm",Oriental Adventures,Gargantuan,Dragon,"Earth, Spirit",Warm land and underground,22,Dragon,Lung,Li Lung,Wyrm
"Li Lung (Earth Dragon),  Adult",Oriental Adventures,Large,Dragon,"Earth, Spirit",Warm land and underground,10,Dragon,Lung,Li Lung, Adult
Lich,Monster Manual,,Template,,Any land and underground,2,Lich,,,
"Lich, Good","Bestiary of the Realms, Volume 1",,Template,,,,Lich,Good,,
"Lich, Good, Archlich",Monsters of Faerûn,,Undead,,,,Lich,Archlich,,
"Lich, Good, Baelnorn",Monsters of Faerûn,,Undead,,,,Lich,Good,Baelnorn,
"Lich, Good, Sy'Tel'Quessir Baelnorn","Bestiary of the Realms, Volume 1",,,,,,Lich,Good,Sy'Tel'Quessir Baelnorn,
"Lich, Good, Thorsamsonn","Bestiary of the Realms, Volume 1",,,,,,Lich,Good,Thorsamsonn,
Lightfeet,Kingdoms of Kalamar Player's Guide,Small,Humanoid,Halfling,,,Halfling,Tellenian,Lightfoot,
Lightfoot Halfling,Forgotten Realms Campaign Setting,Small,Humanoid,Halfling,,,Halfling,Faerûnian,Lightfoot,
Lillend,Monster Manual,Large,Outsider,"Chaotic, Good",Any land and underground,7,Lillend,,,
"Linnorm, Corpse Tearer",Monster Manual II,Gargantuan,Dragon,,Any land,28,Linnorm,Corpse Tearer,,
Lion,Monster Manual,Large,Animal,,Warm plains,3,Lion,,,
Lion Beast of Chaos,Creature Catalogue,Large,Magical Beast,,Warm plains,5,Beast of Chaos,Lion,,
Little Things,Perilous Gateways - Strongholds of Undeath Portals - The Temple in the Forbidden Jungle,Small,Undead,,Forbidden Jungle,3,Halfling,Wild,Little Things,
Living Catapult,Dragon #285,Huge,Construct,,Any land,9,Living Catapult,,,
Living Crossbow,Living Greyhawk Journal #5,Tiny,Vermin,,,1/4,Living Crossbow,,,
Living Door,Polyhedron #145,Large,Construct,,Doorway (Underground),1,Living Door,,,
Living Holocaust,Fiend Folio,Small,Elemental,"Air, Extraplanar, Fire",Warm and temperate land or underground (Abyss),13,Living Holocaust,,,
Living Idol,Inzeladun Third Edition: Al Qadim Monsters,Large,Construct,,Any land and underground,3,Living Idol,,,
"Living Statue, Crystal",Vaults of Pandius,Medium,Construct,,Any,2,Living Statue,Crystal,,
"Living Statue, Iron",Vaults of Pandius,Medium,Construct,,Any,2,Living Statue,Iron,,
"Living Statue, Rock",Vaults of Pandius,Medium,Construct,,Any,2,Living Statue,Rock,,
Living Steel,Creature Catalogue,Medium,Shapechanger,,Any underground,7,Living Steel,,,
Living Tattoo,Denizens of Darkness,,Template,,Any land,,Living Tattoo,,,
"Living Tattoo, Dark Man",Denizens of Darkness,Medium,Construct,,,,Living Tattoo,Dark Man,,
"Living Tattoo, Grandfather Raven",Denizens of Darkness,Tiny,Construct,,,,Living Tattoo,Grandfather Raven,,
"Living Tattoo, Living Spear",Denizens of Darkness,Medium,Construct,,,,Living Tattoo,Living Spear,,
"Living Tattoo, Silver Wolf",Denizens of Darkness,Medium,Construct,,,,Living Tattoo,Silver Wolf,,
"Living Tattoo, Violet Panther",Denizens of Darkness,Medium,Construct,,,,Living Tattoo,Violet Panther,,
"Living Tattoo, Winged Snake",Denizens of Darkness,Small,Construct,,,,Living Tattoo,Winged Snake,,
Living Vault,Epic Level Handbook,Colossal,Construct,,Any,33,Living Vault,,,
Living Wall,Creature Catalogue,Huge,Undead,,Any land and underground,4,Living Wall,,,
Living Wall Victim,Creature Catalogue,,Template,,Any land and underground,2,Living Wall,Victim,,
Lizard,Monster Manual,Tiny,Animal,,Any warm land,1/6,Lizard,,,
"Lizard, Giant",Monster Manual,Medium,Animal,,Any warm land,2,Lizard,Giant,,
"Lizard, Giant; Draco",Vaults of Pandius,Large,Animal,,Any woods or jungle,1,Lizard,Draco,,
"Lizard, Giant; Gecko",Vaults of Pandius,Medium,Animal,,"Any tropical or woods, underground",1,Gecko,Giant,,
"Lizard, Giant; Horned Chameleon",Vaults of Pandius,Huge,Animal,,"Any, especially desert and mountain",2,Chameleon,Horned,Giant,
"Lizard, Giant; Tuatra",Vaults of Pandius,Huge,Animal,,"Any underground, desert, barren, or mountain",2,Lizard,Tuatara,,
"Lizard, Pack",Forgotten Realms Campaign Setting,Large,Animal,,Any underground,3,Lizard,Pack,,
"Lizard, Riding",Forgotten Realms Campaign Setting,Large,Animal,,Any underground,2,Lizard,Riding,,
"Lizard, Spitting Crawler",Forgotten Realms Campaign Setting,Tiny,Animal,,Any underground,1/3,Lizard,Spitting Crawler,,
Lizardfolk,Monster Manual,Medium,Humanoid,"Aquatic, Reptilian",Temperate and warm marsh,1,Lizardfolk,,,
"Lizardfolk, Quanak","Psionic Bestiary: Lizardfolk, Quanak",Medium,Humanoid,"Aquatic, Reptilian",Temperate and warm marsh,2,Lizardfolk,Quanak,,
Lobishomen,Book of Shadows,Medium,Undead,"Incorporeal, Fire","Warm deserts, hills and mountains",7,Lobishomen,,,
Locathah,Monster Manual,Medium,Humanoid,Aquatic,Warm aquatic,1/2,Locathah,,,
Locathah (Hai Nu),Oriental Adventures,,Humanoid,Aquatic,,,Hai Nu,,,
Lock Lurker,"Bestiary of the Realms, Volume 1",Diminutive,Aberration,,Any land or underground,2,Lock Lurker,,,
"Locust Swarm, Bloodfiend",Fiend Folio,Medium,Vermin,"Extraplanar, Swarm",Any land and underground (Abyss),8,Locust,Bloodfiend,Swarm,
"Locust Swarm, Rapture",Fiend Folio,Medium,Vermin,Swarm,Any,6,Locust,Rapture,Swarm,
Lolth (Demon Queen of Spiders),Creature Catalogue,Large,Outsider,"Chaotic, Evil",Any land and underground,42,Demon,Lord,Lolth,
Losel,Living Greyhawk Journal #3,Medium,Humanoid,Orc,Temperate and warm land and underground,1/2,Losel,,,
Lost,Creatures of Rokugan,Medium,Undead,Shadowlands,Shadowlands,4,Lost,Rokugan,,
Loxo,Creature Catalogue,Large,Monstrous Humanoid,,Temperate and warm plains,3,Loxo,,,
Lu Nat,Oriental Adventures,Medium,Fey,Spirit,Warm forest,4,Nat,Lu,,
