Name,Source,Size,Environment,CR,Classify 1,Classify 2,Classify 3
Gorbel,Monstrous Compendium Fiend Folio Appendix (MC14),Small,Topical/land,,Beholder,Gorbel,
Gorgimera,Monstrous Manual,Large,Any temperate to tropical,,Gorgimera,,
"Gorgimerae, White",Treasures of the Savage Frontier [Adventure Journal],Large,,,Gorgimera,White,
Gorgon,Birthright Campaign Setting [Cardsheet 9],Large,The Gorgon's Crown/Anuire,,Awnshegh,Gorgon,
Gorgosaurus,1991 Trading Cards Factory Set,Gargantuan,,,Dinosaur,Gorgosaurus,
Gorse,Dragon #180,Tiny,"Subarctic to temperate/Grasslands, hills and prairies",,Gorse,,
Gorynych,Dragon #158,Gargantuan,"Temperate mountains, any subterranean area",,Gorynych,,
Gossamer,1993 Trading Cards Factory Set,Tiny,,,Gossamer,,
"Gossamer, Noble",Monstrous Compendium Spelljammer Appendix II,Gargantuan,Space,,Gossamer,Noble,
"Gossamer, Standard",Monstrous Compendium Spelljammer Appendix II,Tiny,Wildspace/phlogiston,,Gossamer,,
Grain Nymph,Taladas: The Minotaurs (DLR2),Medium,Farmland,,Nymph,Grain,
"Grand Duke Moloch, Archdevil in Exile",Apocalypse Stone,Large,,,Devil,Archdevil,Moloch
Grandfather Plaque,Dragon #223,Small,Ruins and occupied dwellings,,Grandfather Plaque,,
Grav,1993 Trading Cards Factory Set,Small,,,Grav,,
Grave Mist,Eye of the Beholder III: Assault on Myth Drannor [Rule Book],Medium,Any/Graveyard and burial grounds,,Grave Mist,,
Grave Watcher,Polyhedron #76,Medium,"Tombs, crypts, graveyards, burial grounds",,Grave Watcher,,
Graveling,Book of Shadows,Large,Any Ravenloft/Graveyards,,Graveling,,
Gravislayer,1992 Trading Cards Factory Set,Medium,,,Gravislayer,,
Gray Dwarves,Player's Option: Skills & Powers,,,,Dwarf,Duergar,
Gray Elves,Player's Option: Skills & Powers,,,,Elf,Gray,
Gray Flatfish,Elminster's Ecologies [The Settled Lands],Tiny,,,Gray Flatfish,,
Gray Ooze,Complete Starter Set [Monstrous Manual],Large,,,Gray Ooze,,
Gray Philosopher,Mystara Monstrous Compendium Appendix,Medium,Any ruins,,Gray Philosopher,,
"Gray Philosopher, Malice",Mystara Monstrous Compendium Appendix,Tiny,Any ruins,,Gray Philosopher,Malice,
Gray troll,Dragon #199,Large,Any subterranean,,Troll,Gray,
Gray unicorn,Dragon #190,Large,Subtropical/Grasslands,,Unicorn,Gray,
Graz'zt,For Duty and Deity,Large,,,Demon,Lord,Graz'zt
Great Dreamer,Monstrous Compendium Spelljammer Appendix II,Gargantuan,"Wildspace, oceans",,Great Dreamer,,
Great Orm,Dragon #190,Gargantuan,,,Great Orm,,
Great Spirits,Shaman,Huge,Any,,Spirit,Great,
Great White Bison,Elminster's Ecologies Appendix: Volume 1 [The Hill of Lost Souls],Large,,,Great White Bison,,
Greater Disir,Dark Queen of Krynn [Adventurer's Journal],Medium,,,Disir,True,
Greater Equar,Dragon #243,Large,Any,,Equar,Greater,
Greater Margoyle,Pools of Darkness [Adventurer's Journal],Medium,,,Gargoyle,Margoyle,Greater
Greater Mummy (Undead),1992 Trading Cards Factory Set,Medium,,,Mummy,Greater,
Greater Otyugh,Dark Queen of Krynn [Adventurer's Journal],Large,,,Otyugh,Greater,
Greater Pegasus,Dungeon #61,Large,,,Pegasus,Greater,
Greater Peltast,Halls of the High King (FA1),Tiny,Any land,,Peltast,Greater,
Greater Raven,City of Ravens Bluff,Small,Any,,Raven,Greater,
Greater Sea Hag,City of Ravens Bluff,Medium,Any aquatic,,Hag,Sea,Elder
Greater Shadow,Dark Sun: Shattered Lands [Rule Book],Medium,Any ruins or subterranean chambers,,Shadow,Greater,
Greater Treant,Dungeon #61,Gargantuan,Secluded forests,,Treant,Greater,
Greater Vampiric Ixitxachitl,Monstrous Manual,,,,Ixitxachitl,Vampiric,
Greater Varrangoin (Abyssal Bat),"Priest's Spell Compendium, Volume Three",,,,Varrangoin,Greater,
Greater Wolfwere,1992 Trading Cards Factory Set,Medium to Large,,,Wolfwere,Greater,
Greatswan,Monstrous Compendium Spelljammer Appendix II,Large,"Elven lands, wildspace",,Swan,Greatswan,
Greelox,Dungeon #35,Large,Any underground/ruins,,Greelox,,
Green Dragons,Campaign Option: Council of Wyrms,,,,Dragon,Chromatic,Green
Green Elves,Elves of Evermeet,,,,Elf,Wild,Faerûnian
Green Folk,Maztica Campaign Set [A Journey to the True World],,,,Human,Maztican,Green Folk
Green Man,Blood Enemies: Abominations of Cerilia,,,,Awnshegh,Green Man,
Green Slime,1991 Trading Cards Factory Set,Small,,,Green Slime,,
Greenhag Newborn,Dungeon #59,Small,,,Hag,Green,Newborn
Grell,1992 Trading Cards Factory Set,Medium,,,Grell,,
"Grell, Patriarch",Monstrous Compendium Spelljammer Appendix II,Large,Shipboard,,Grell,Patriarch,
"Grell, Philosopher",Monstrous Compendium Spelljammer Appendix II,Medium,Any,,Grell,Philospher,
"Grell, Soldier",Monstrous Compendium Spelljammer Appendix II,Medium,Any,,Grell,,
"Grell, Worker",Monstrous Compendium Spelljammer Appendix II,Medium,Any,,Grell,,
Gremishka,Ravenloft Monstrous Compendium Appendix III: Creatures of Darkness,Tiny,Ravenloft,,Gremishka,,
Gremlin,Monstrous Compendium Greyhawk Appendix,Tiny,Any/Land,,Gremlin,,
"Gremlin, Fremlin",Monstrous Compendium Greyhawk Appendix,Tiny,Any/Land,,Fremlin,,
"Gremlin, Galltrit",Monstrous Compendium Greyhawk Appendix,Tiny,Any/Non-arctic land,,Galltrit,,
"Gremlin, Jermlaine",Monstrous Manual,Tiny,Subterranean,,Jermlaine,,
"Gremlin, Mite",Monstrous Manual,Tiny,Subterranean,,Mite,,
"Gremlin, Snyad",Monstrous Manual,Tiny,Subterranean,,Snyad,,
Grey Elf,Complete Book of Elves (PHBR8),,,,Elf,Gray,
Grey Elves (Faerie),Monstrous Compendium Volume One,,,,Elf,Gray,
Grey Ooze,Complete Psionics Handbook (PHBR5),,,,Gray Ooze,Psionic,
Greyhawk Dragon,1992 Trading Cards Factory Set,Gargantuan,,,Dragon,Oerth,Greyhawk
"Greyhound, Saluqi",Assassin Mountain (ALQ2),Small,Any,,Dog,Saluqi,
Greyman,Crypt of Lyzandred the Mad,Medium,,,Greyman,,
Griffon,1991 Trading Cards Factory Set,Large,,,Griffon,,
"Griffon, Shadow",Terrors from Above,Large,Any,,Griffon,Shadow,
Griffons,Tales of the Lance [World Book of Ansalon],Large,Hills/mountains,,Griffon,,
Grilling,Dragon #262,Medium,Any angled terrain,,Grilling,,
Grim,Shadow Rift,Medium,Any Ravenloft,,Grim,,
Grim Reaper,1991 Trading Cards Factory Set,Medium,,,Grim Reaper,,
"Grimjaws, Crocodile Mummy",Dungeon #62,Large,,,Mummy,Crocodile,Grimjaws
Grimlock,Dragon #265,,,,Grimlock,,
Grimlock-Derro Conjoin,Dungeon #81,Medium,,,Grimlock-Derro Conjoin,,
Grimlocks,Illithiad,,,,Grimlock,,
Grimor,Terrors from Above,Tiny,Any,,Grimor,,
Grippli,Monstrous Compendium Greyhawk Appendix,Small,Tropical/Swamps and jungles,,Grippli,,
Grist (True Gargoyle),Vale of the Mage (WG12),Large,Any stone building or rocky mountainside,,Gargoyle,Grist,
Griveling,Vale of the Mage (WG12),Medium,Any cavern or mountain,,Griveling,,
Groaning Spirit (Banshee),1992 Trading Cards Factory Set,Medium,,,Banshee,,
Grommam,Complete Spacefarer's Handbook (CGR1),,,,Grommam,,
Gronk,Dragon #262,Large,Any land,,Gronk,,
Groundling,Monstrous Compendium Annual Volume Four,Medium,Any,,Groundling,,
Growler,Dragon Annual #2,Gargantuan,"Arctic, aquatic",,Growler,,
"Gruaghlothor ""Supreme Dragon of the Ferrous Dragons""",Dragon #170,Gargantuan,Subterranean,,Dragon,Ferrous,Gruaghlothor
Grudgling,Savage Coast Monstrous Compendium Appendix,Small,Any land,,Grudgling,,
"Grue - Air/Water, Ildriss",Planescape Monstrous Compendium Appendix,Small,Inner Planes,,Grue,Ildriss,
"Grue - Air/Water, Varrdig",Planescape Monstrous Compendium Appendix,Medium,Inner Planes,,Grue,Vardigg,
"Grue - Earth/Fire, Chaggrin",Planescape Monstrous Compendium Appendix,Small,Any,,Grue,Chaggrin,
"Grue - Earth/Fire, Harginn",Planescape Monstrous Compendium Appendix,Medium,Any,,Grue,Harginn,
"Grue, Chaggrin",Secrets of the Lamp (ALQ4),Small,Any,,Grue,Chaggrin,
"Grue, Earth","Priest's Spell Compendium, Volume Three",,,,Grue,Chaggrin,
"Grue, Harginn",Secrets of the Lamp (ALQ4),Medium,Any,,Grue,Harginn,
"Grue, Ildriss",Secrets of the Lamp (ALQ4),Medium,Any,,Grue,Ildriss,
"Grue, Vardigg",Secrets of the Lamp (ALQ4),Medium,Any,,Grue,Vardigg,
Grung,1992 Trading Cards Factory Set,Small,,,Grung,,
Grythok,Falcon's Revenge (WGA1),Tiny,Any subterranean,,Grythok,,
Guardian,Wanderer's Chronicle: Mind Lords of the Last Sea [Wanderer's Chronicle: Mind Lords of the Last Sea],,,,Guardian,Athasian,
"Guardian Daemon, Greater",Monstrous Compendium Volume Two,Large,Any,,Yugoloth,Guardian,Greater
"Guardian Daemon, Least",Monstrous Compendium Volume Two,Variable,Any,,Yugoloth,Guardian,Least
"Guardian Daemon, Lesser",Monstrous Compendium Volume Two,Variable,Any,,Yugoloth,Guardian,Lesser
Guardian Spirits,Shaman,Medium,Any/ruins,,Spirit,Guardian,
Guardian Tails,"Encyclopedia Magica, Volume II",,,,Guardian Tail,,
Guardian Warrior,Mystara Monstrous Compendium Appendix,Medium,Any land,,Guardian Warrior,,
Guardian Warrior Horse,Mystara Monstrous Compendium Appendix,Large,Any land,,Guardian Warrior,Horse,
Guardian Warriors,Dungeon #37,Small or Medium,,,Guardian Warrior,(Alternate),
"Guardinal, Avoral",Planescape Monstrous Compendium Appendix II,Medium,Elysium,,Guardinal,Avoral,
"Guardinal, Avorals",Warriors of Heaven,,,,Guardinal,Avoral,
"Guardinal, Cervials",Warriors of Heaven,,,,Guardinal,Cervial,
"Guardinal, Cervidal",Planescape Monstrous Compendium Appendix II,Medium,Elysium,,Guardinal,Cervidal,
"Guardinal, Equinal",Planescape Monstrous Compendium Appendix II,Large,Elysium,,Guardinal,Equinal,
"Guardinal, Equinals",Warriors of Heaven,,,,Guardinal,Equinal,
"Guardinal, Leonal",Planescape Monstrous Compendium Appendix II,Medium,Elysium,,Guardinal,Leonal,
"Guardinal, Leonals",Warriors of Heaven,,,,Guardinal,Leonal,
"Guardinal, Lupinal",Planescape Monstrous Compendium Appendix II,Medium,Elysium,,Guardinal,Lupinal,
"Guardinal, Lupinals",Warriors of Heaven,,,,Guardinal,Lupinal,
"Guardinal, Ursinal",Planescape Monstrous Compendium Appendix II,Large,Elysium,,Guardinal,Ursinal,
"Guardinal, Ursinals",Warriors of Heaven,,,,Guardinal,Ursinal,
Guenhwyvar,1992 Trading Cards Factory Set,Medium,,,Panther,Guenhwyvar,
Gulguthydra,City of Splendors,Huge,Swamp or subterranean,,Gulguthydra,,
Gullion,Monstrous Compendium Spelljammer Appendix II,Small,Planet/Around ships,,Gullion,,
Gully Dwarf,1991 Trading Cards Factory Set,Small,,,Dwarf,Gully,
Gully Dwarves,Complete Book of Dwarves (PHBR6),,,,Dwarf,Gully,
Gulper,Dragon #235,Large,Ocean depths,,Gulper,,
Gurik Cha'ahl,1992 Trading Cards Factory Set,Small,,,Gurik Cha'ahl,,
Gurrash,Orc's Head [Book One: Orc's Head Peninsula Sourcebook],,,,Gurrash,,
Guttar (Dwarven Ox),Dragon #269,Large,Any dwarven inhabited,,Ox,Guttar,
Gyerian,Mystara Monstrous Compendium Appendix,Small to Medium,Temperate plains or forests,,Gyerian,,
"Gyerian, Cockrobin",Mystara Monstrous Compendium Appendix,,,,Gyerian,Cockrobin,
"Gyerian, Rooster",Mystara Monstrous Compendium Appendix,,,,Gyerian,Rooster,
Gyre,Practical Planetology (SJR4),Huge,Temperate forests,,Gyre,,
H'Calos,Endless Armies (FMA2),Gargantuan,Tropical (Ixtzul),,H'Calos,,
Ha'pony,Polyhedron #95,Medium,Any temperate,,Ha'pony,,
"Had, Bheur",Spellbound [Monstrous Compendium],Medium,Cold regions (Rashemen),,Hag,Bheur,
Hadozee,1992 Trading Cards Factory Set,Medium,,,Hadozee,,
Hæmogoblin,Book of Secrets,Small,Any,,Hæmogoblin,,
Hag,Karameikos: Kingdom of Adventure [Adventure Book],Large,,,Hag,,
Hag of Müden,Blood Enemies: Abominations of Cerilia,Large,,,Awnshegh,Hag,
"Hag, Annis",Monstrous Compendium Volume Two,Large,Any land,,Hag,Annis,
"Hag, Bheur",Monstrous Compendium Annual Volume Three,Medium,Cold regions (Rashemen),,Hag,Bheur,
"Hag, Green",Monstrous Compendium Volume Two,Medium,Any land or river,,Hag,Green,
"Hag, Sea",Monstrous Compendium Volume Two,Medium,Any water,,Hag,Sea,
"Hag, Spectral, Annis",Ravenloft Monstrous Compendium Appendix III: Creatures of Darkness,Large,Any land,,Hag,Spectral,Annis
"Hag, Spectral, Green",Ravenloft Monstrous Compendium Appendix III: Creatures of Darkness,Medium,Any land or river,,Hag,Spectral,Green
"Hag, Spectral, Sea",Ravenloft Monstrous Compendium Appendix III: Creatures of Darkness,Medium,Any water,,Hag,Spectral,Sea
Hai Nu,Monstrous Compendium Kara-Tur Appendix,Medium,Subtropical and tropical oceans,,Hai Nu,,
Hai Riyo,Dragon #248,Gargantuan,Temperate mountains,,Hai Riyo,,
Haikjadeam,Dragon #224,,,,Vaati,Haikjadeam,
Hairfoot,Complete Book of Gnomes and Halflings (PHBR9),,,,Halfling,Hairfoot,
Hairfoot Halflings,Player's Option: Skills & Powers,,,,Halfling,Hairfoot,
Hakeashar,City of Splendors,Large,Any,,Nishruu,Hakeashar,
Half-Bronze Dragon,Campaign Option: Council of Wyrms,,,,Half-Dragon,Bronze,
Half-Elf,Birthright Campaign Setting [Rulebook],,,,Half-Elf,Cerilian,
"Half-Elf, Savage Coast",Red Steel Campaign Expansion [Campaign Book],,,,Half-Elf,Savage Coast,
Half-Elves,Monstrous Compendium Volume One,,,,Half-Elf,,
Half-Giant,Dark Sun Campaign Setting Expanded and Revised ,,,,Half-Giant,Athasian,
"Half-Giant, Athasian",Dragon #173,Huge,Any land,,Half-Giant,Athasian,
Half-Gold Dragon,Campaign Option: Council of Wyrms,,,,Half-Dragon,Gold,
Half-Ogre,Greyhawk Ruins (WGR1),Large,Any/Land,,Half-Ogre,,
"Half-Ogre, Ogrillon",Monstrous Manual,Medium,Any/Land,,Ogrillon,,
Half-Orc,Monstrous Manual,,,,Half-Orc,,
Half-Orcs,Maztica Campaign Set [A Journey to the True World],,,,Half-Orc,Maztican,
Half-Silver Dragon,Campaign Option: Council of Wyrms,,,,Half-Dragon,Silver,
Half-Vistani,Domains of Dread,,,,Human,Half-Vistani,
Halfing,Polyhedron #108,,,,Halfling,Cerilian,
Halfling,Birthright Campaign Setting [Rulebook],,,,Halfling,Cerilian,
Halfling (the Hin),Karameikos: Kingdom of Adventure [Explorer's Guide],,,,Halfling,Mystaran,
Halfling Vampire,1992 Trading Cards Factory Set,Small,,,Vampire,Halfling,
"Halfling, Anadian",Realmspace (SJR2),Small,Anadian polar regions,,Halfling,Anadian,
"Halfling, Athasian",Dragon #173,Small,Any land,,Halfling,Athasian,
"Halfling, Hairfoot",Monstrous Compendium Volume One,Small,Pastoral,,Halfling,Hairfoot,
"Halfling, Renegade",Monstrous Compendium Dark Sun Appendix: Terrors of the Desert,Small,Temperate jungle/Forest ridge,,Halfling,Athasian,Renegade
"Halfling, Savage Coast",Red Steel Campaign Expansion [Campaign Book],,,,Halfling,Savage Coast,
"Halfling, Shadow World, Domain Lord",Blood Spawn,Small,"Woodlands, hills",,Halfling,Shadow World,Domain Lord
"Halfling, Shadow World, Freedom Fighter",Blood Spawn,Small,"Slave communities, forests",,Halfling,Shadow World,Freedom Fighter
"Halfling, Shadow World, Slave",Blood Spawn,Small,Slave communities,,Halfling,Shadow World,Slave
"Halfling, Stout",Monstrous Compendium Volume One,Small,"Hills, mountains",,Halfling,Deep,
"Halfling, Tallfellow",Monstrous Compendium Volume One,Small,"Hills, forests",,Halfling,Tallfellow,
Halflings,Maztica Campaign Set [A Journey to the True World],,,,Halfling,Maztican,
Hallucigenia,Dragon #204,Huge,Shallow sea floor,,Hallucigenia,Giant,
"Hallucigenia, Acidic",Dragon #204,Large,Shallow sea floor,,Hallucigenia,Giant,Acidic
"Hallucigenia, Cave",Dragon #204,Small,Shallow sea floor,,Hallucigenia,Giant,Cave
Hama,Monstrous Compendium Al-Qadim Appendix (MC13),Small,Any,,Hama,,
Hamadryad,Lankhmar: City of Adventure,,,,Dryad,Hamadryad,Nehwon
Hamadryads,Nehwon (LNA2),Medium,Secluded groves,,Dryad,Hamadryad,Nehwon
"Hamster, Giant Space",Monstrous Compendium Spelljammer Appendix,Large,Temperate/Grassy plains and hills,,Hamster,Giant Space,
Handmaiden of Takhisis,Wild Elves (DLS4),Medium or Huge,Abyss or subterranean caverns,,Handmaiden of Takhisis,Jiathuli,
Hannya,Monstrous Compendium Kara-Tur Appendix,Medium,Any land,,Hannya,,
Hannya (wight),Dragon Annual #1,,,,Vampire,Hannya,
Harpy,1992 Trading Cards Factory Set,Medium,,,Harpy,,
Harrier,Monstrous Compendium Forgotten Realms Appendix (MC11),Medium,Jungle,,Harrier,,
"Harrier, Larvae",Monstrous Compendium Forgotten Realms Appendix (MC11),Tiny,Jungle,,Harrier,Larva,
Harrla,Monstrous Compendium Forgotten Realms Appendix (MC11),Medium,Any urban area,,Harrla,,
Harvest Halon,"Jakandor, Island of War",Gargantuan,,,Juggernaut,Wicker,
"Hatori, Greater",Monstrous Compendium Dragonlance Appendix (MC4),Gargantuan,Deserts,,Hatori,Greater,
"Hatori, Lesser",Monstrous Compendium Dragonlance Appendix (MC4),Large to Gargantuan,Deserts,,Hatori,Lesser,
Haun,Monstrous Compendium Forgotten Realms Appendix (MC11),Small,Arctic ice pack and glaciers,,Haun,,
Haundar,Monstrous Compendium Forgotten Realms Appendix (MC11),Gargantuan,"Icebergs, arctic valleys",,Haundar,,
Haunt,"Encyclopedia Magica, Volume II",,,,Haunt,,
"Haunt, Knight",Monstrous Compendium Dragonlance Appendix (MC4),Medium,Any/Battlefield,,Knight Haunt,,
Hawk,1991 Trading Cards Factory Set,Small,,,Hawk,,
Hawk (Familiar),1992 Trading Cards Factory Set,,,,Hawk,Familiar,
"Hawk, Blood",Monstrous Compendium Volume Two,Small,Any land subarctic to tropical,,Hawk,Blood,
"Hawk, Large",Monstrous Compendium Volume Two,Small,Any land subarctic to tropical,,Hawk,,
"Hawk, Small (Falcon)",Monstrous Compendium Volume Two,Small,Any land subarctic to tropical,,Hawk,Falcon,
Head Hunter,Ravenloft Monstrous Compendium Appendix III: Creatures of Darkness,Tiny,Ravenloft,,Head Hunter,,
"Head, Arcane",Monstrous Compendium Annual Volume Three,Tiny,The Nightmare Lands,,Arcane Head,,
Hearth Fiend,Polyhedron #68,Varies,Any open fire,,Hearth Fiend,,
Heat Stalker,Book of Shadows,Medium,Any Ravenloft/Extremely hot areas,,Heat Stalker,,
Heavy war horse,"Encyclopedia Magica, Volume I",,,,Horse,Warhorse,Heavy
Hebi-No-Onna,Ravenloft Monstrous Compendium Appendix III: Creatures of Darkness,Medium,Rokushima Táiyoo and Sri Raji,,Hebi-No-Onna,Dread,
Hecatoncheire,Legends & Lore,Gargantuan,,,Abomination,Hecatoncheires,
Hej-kin,Monstrous Compendium Dark Sun Appendix: Terrors of the Desert,Small,Subterranean,,Hej-Kin,,
Helborn,Dragon #167,Large,Subtropical and tropical swamps and jungles,,Helborn,,
Helian,Realmspace (SJR2),Large,"The Sun, elemental plane of Fire",,Helian,,
Hell Hound,1991 Trading Cards Factory Set,Medium,,,Hound,Hell,
Hellcat,Monstrous Compendium Fiend Folio Appendix (MC14),Large,Any,,Devil,Bezekira,
"Hellhound, Afflicted",Diablo II: The Awakening,Large,,,Hellhound,Afflicated,
"Hellhound, Damned",Diablo II: The Awakening,Large,,,Hellhound,Damned,
"Hellhound, Disfigured",Diablo II: The Awakening,Large,,,Hellhound,Disfigured,
"Hellhound, Misshapen",Diablo II: The Awakening,Large,,,Hellhound,Misshapen,
"Hellhound, Tainted",Diablo II: The Awakening,Large,,,Hellhound,Tainted,
"Hellhounds, Afflicted",Diablo II Adventure Game,,,,Hellhound,,
"Hellhounds, Disfigured",Diablo II Adventure Game,,,,Hellhound,,
"Hellhounds, Misshapen",Diablo II Adventure Game,,,,Hellhound,,
"Hellhounds, Tainted",Diablo II Adventure Game,,,,Hellhound,,
Helmed Horror,Forgotten Realms Campaign Setting (New Edition),Medium,Any,,Helmed Horror,,
"Helmed Horror, Battle Horror",Forgotten Realms Campaign Setting (New Edition),,,,Helmed Horror,Battle Horror,
Hendar,Monstrous Compendium Forgotten Realms Appendix (MC11),Large,Desolate areas (temperate),,Hendar,,
Hengeyokai,Monstrous Compendium Kara-Tur Appendix,Small or Medium,Any,,Hengeyokai,,
"Hengeyokai, Badger",Dragon #266,,,,Hengeyokai,Badger,
"Hengeyokai, Dolphin",Dragon #266,,,,Hengeyokai,Dolphin,
"Hengeyokai, Falcon",Dragon #266,,,,Hengeyokai,Falcon,
"Hengeyokai, Frog",Dragon #266,,,,Hengeyokai,Frog,
"Hengeyokai, Lizard",Dragon #266,,,,Hengeyokai,Lizard,
"Hengeyokai, Lynx",Dragon #266,,,,Hengeyokai,Lynx,
"Hengeyokai, Octopus",Dragon #266,,,,Hengeyokai,Octopus,
"Hengeyokai, Otter",Dragon #266,,,,Hengeyokai,Otter,
"Hengeyokai, Owl",Dragon #266,,,,Hengeyokai,Owl,
"Hengeyokai, Panda",Dragon #266,,,,Hengeyokai,Panda,
"Hengeyokai, Turtle",Dragon #266,,,,Hengeyokai,Turtle,
"Hengeyokai, Weasel",Dragon #266,,,,Hengeyokai,Weasel,
"Heraldic Servant, Aurochs",Savage Coast Monstrous Compendium Appendix,Medium,Any,,Heraldic Servant,Auroch,
"Heraldic Servant, Bear",Savage Coast Monstrous Compendium Appendix,Medium,Any,,Heraldic Servant,Bear,
"Heraldic Servant, Bee",Savage Coast Monstrous Compendium Appendix,Medium,Any,,Heraldic Servant,Bee,
"Heraldic Servant, Dolphin",Savage Coast Monstrous Compendium Appendix,Medium,Any,,Heraldic Servant,Dolphin,
"Heraldic Servant, Dragon",Savage Coast Monstrous Compendium Appendix,Medium,Any,,Heraldic Servant,Dragon,
"Heraldic Servant, Eagle",Savage Coast Monstrous Compendium Appendix,Medium,Any,,Heraldic Servant,Eagle,
"Heraldic Servant, Griffon",Savage Coast Monstrous Compendium Appendix,Medium,Any,,Heraldic Servant,Griffon,
"Heraldic Servant, Horse",Savage Coast Monstrous Compendium Appendix,Medium,Any,,Heraldic Servant,Horse,
"Heraldic Servant, Lion",Savage Coast Monstrous Compendium Appendix,Medium,Any,,Heraldic Servant,Lion,
"Heraldic Servant, Phoenix",Savage Coast Monstrous Compendium Appendix,Medium,Any,,Heraldic Servant,Phoenix,
"Heraldic Servant, Ram",Savage Coast Monstrous Compendium Appendix,Medium,Any,,Heraldic Servant,Ram,
"Heraldic Servant, Rooster",Savage Coast Monstrous Compendium Appendix,Medium,Any,,Heraldic Servant,Rooster,
"Heraldic Servant, Sea Horse",Savage Coast Monstrous Compendium Appendix,Medium,Any,,Heraldic Servant,Sea Horse,
"Heraldic Servant, Sea Lion",Savage Coast Monstrous Compendium Appendix,Medium,Any,,Heraldic Servant,Sea Lion,
"Heraldic Servant, Stag",Savage Coast Monstrous Compendium Appendix,Medium,Any,,Heraldic Servant,Stag,
"Heraldic Servant, Swan (Black)",Savage Coast Monstrous Compendium Appendix,Medium,Any,,Heraldic Servant,Swan,Black
"Heraldic Servant, Talbot",Savage Coast Monstrous Compendium Appendix,Medium,Any,,Heraldic Servant,Talbot,
"Heraldic Servant, Tyger",Savage Coast Monstrous Compendium Appendix,Large,Any,,Heraldic Servant,Tyger,
"Heraldic Servant, Unicorn",Savage Coast Monstrous Compendium Appendix,Medium,Any,,Heraldic Servant,Unicorn,
"Heraldic Servant, Wyvern",Savage Coast Monstrous Compendium Appendix,Medium,Any,,Heraldic Servant,Wyvern,
Herd Cloud,Lost Ships (SJR1),Gargantuan,Any space,,Shadowsponge,Herd Cloud,
Herex,Mystara Monstrous Compendium Appendix,Huge,Any land,,Herex,Adult,
"Herex, Larva",Mystara Monstrous Compendium Appendix,Large to Huge,Any cavern,,Herex,Larva,
"Hermit, Sea",Savage Coast Monstrous Compendium Appendix,Gargantuan,Any coastal,,Sea Hermit,,
Hero Spirits,Shaman,Medium,Sacred mountains/tribal lands,,Spirit,Hero,
Heucuva,1991 Trading Cards Factory Set,Medium,,,Huecuva,,
Heway,1993 Trading Cards Factory Set,Medium,,,Snake,Heway,
Hidden,Diablo II: The Awakening,Medium,,,Hidden,,
"Hidden, Illusion Weaver",Diablo II: The Awakening,Medium,,,Hidden,Illusion Weaver,
"Hidden, Stalker",Diablo II: The Awakening,Medium,,,Hidden,Stalker,
"Hidden, Unseen",Diablo II: The Awakening,Medium,,,Hidden,Unseen,
Hide,Dragon #235,Huge,Ocean depths,,Octopus,Octo-Hide,
Hieracosphinx,1992 Trading Cards Factory Set,Large,,,Sphinx,Hieracosphinx,
High Drik,Dark Sun Monstrous Compendium Appendix II: Terrors Beyond Tyr,Huge,Rocky badlands,,Drik,High,
High Elf,Complete Book of Elves (PHBR8),,,,Elf,High,
High Elves,Player's Option: Skills & Powers,,,,Elf,High,
High Moor Giant Sundew,Elminster's Ecologies Appendix: Volume 2,,,,Red Sundew,High Moor,
High Moor Swamp Ferret,Elminster's Ecologies Appendix: Volume 2,,,,Ferret,Swamp,High Moor
Higher Animated Statue,Dungeon #31,Medium,,,Animated Object,Statue,Higher
Hill Dwarves,Complete Book of Dwarves (PHBR6),,,,Dwarf,Hill,
Hill Giant,1991 Trading Cards Factory Set,Huge,,,Giant,Hill,
Hill Giant Mummies,Dungeon #37,Large,,,Mummy,Hill Giant,
"Hill Giant, Shaman",Pools of Darkness [Adventurer's Journal],Large,,,Giant,Hill,Shaman
Hippocampus,1992 Trading Cards Factory Set,Huge,,,Hippocampus,,
Hippogriff,1993 Trading Cards Factory Set,Large,,,Hippogriff,,
"Hippopotamus, giant",Dragon #167,Large,Tropical lakes and rivers,,Hippopotamus,Giant,
Hive Mother,"I, Tyrant",Huge,,,Beholder,Hive Mother,
"Hivebrood, Broodling",Mystara Monstrous Compendium Appendix,Medium,Any cavern,,Hivebrood,Broodling,
"Hivebrood, Controller",Mystara Monstrous Compendium Appendix,Medium,Any cavern,,Hivebrood,Controller,
"Hivebrood, Lieutenant",Mystara Monstrous Compendium Appendix,Medium,Any land,,Hivebrood,Lieutenant,
"Hivebrood, Mother",Mystara Monstrous Compendium Appendix,Large,Any cavern,,Hivebrood,Broodmother,
"Hivebrood, Soldier",Mystara Monstrous Compendium Appendix,Medium,Any land,,Hivebrood,Soldier,
Hkum yeng nat (lesser spirit),"Encyclopedia Magica, Volume II",,,,Nat,Hkum Yeng,
Hoarfrost,Blood Enemies: Abominations of Cerilia,,,,Awnshegh,Hoarfrost,
Hobgoblin,1992 Trading Cards Factory Set,Medium,,,Hobgoblin,,
"Hobgoblin, Koalinth",Monstrous Manual,Medium,,,Hobgoblin,Koalinth,
"Hobgoblin, Norker",Monstrous Compendium Greyhawk Appendix,Small,Any/Non-arctic,,Norker,,
Hobgoblins,Tales of the Lance [World Book of Ansalon],Medium,Any,,Hobgoblin,,
